Week Number,Month,Day (approx),Home Team Index,Away Team Index,Home Team Score,Away Team Score,Winning Team Index
1,4,1,12,18,31,0,12
1,4,1,5,1,14,8,5
1,4,1,7,8,35,12,7
1,4,1,2,6,12,7,2
1,4,1,4,3,13,8,4
1,4,1,11,10,10,0,11
1,4,1,15,16,0,60,16
1,4,1,9,17,40,0,9
2,4,8,17,15,6,0,17
2,4,8,6,5,0,46,5
2,4,8,11,7,7,41,7
2,4,8,18,9,6,8,9
3,4,15,8,12,14,8,8
3,4,15,17,16,0,30,16
3,4,15,4,1,0,21,1
3,4,15,7,9,41,0,7
3,4,15,10,2,12,0,20
3,4,15,3,5,8,26,5
4,4,22,2,4,14,21,4
4,4,22,15,17,14,9,15
4,4,22,9,10,0,2,10
4,4,22,8,11,32,20,8
4,4,22,3,6,0,7,6
4,4,22,18,12,0,22,12
5,4,29,1,2,40,0,1
5,4,29,5,4,19,0,5
5,4,29,10,8,19,28,8
5,4,29,16,18,41,6,16
5,4,29,17,12,0,66,12
5,4,29,7,11,28,0,7
6,5,6,16,8,6,7,8
6,5,6,10,7,6,34,7
6,5,6,2,3,25,42,3
6,5,6,1,5,21,22,5
6,5,6,4,6,26,0,4
6,5,6,11,9,14,8,11
6,5,6,18,15,22,7,18
7,5,13,15,11,3,22,11
7,5,13,1,3,42,6,1
7,5,13,8,18,47,20,8
7,5,13,9,7,0,56,7
7,5,13,6,2,14,7,6
7,5,13,12,16,6,20,16
8,5,20,12,15,48,0,12
8,5,20,5,10,40,29,5
8,5,20,6,1,0,56,1
8,5,20,16,17,62,0,16
8,5,20,3,4,8,6,3
P1,6,8,7,10,34,7,7
P1,6,8,5,1,20,48,1
P1,6,8,16,12,7,12,12
P1,6,8,8,11,23,7,8
P2,6,10,8,12,46,26,8
P2,6,10,7,1,34,6,7
P3,6,25,8,7,7,49,7