week_number,month,day_(approx),home_team_index,away_team_index,home_team_score,away_team_score,winning_team_index,season
1,4,1,12,18,31,0,12,2023
1,4,1,5,1,14,8,5,2023
1,4,1,7,8,35,12,7,2023
1,4,1,2,6,12,7,2,2023
1,4,1,4,3,13,8,4,2023
1,4,1,11,10,10,0,11,2023
1,4,1,15,16,0,60,16,2023
1,4,1,9,17,40,0,9,2023
2,4,8,17,15,6,0,17,2023
2,4,8,6,5,0,46,5,2023
2,4,8,11,7,7,41,7,2023
2,4,8,18,9,6,8,9,2023
3,4,15,8,12,14,8,8,2023
3,4,15,17,16,0,30,16,2023
3,4,15,4,1,0,21,1,2023
3,4,15,7,9,41,0,7,2023
3,4,15,10,2,12,0,20,2023
3,4,15,3,5,8,26,5,2023
4,4,22,2,4,14,21,4,2023
4,4,22,15,17,14,9,15,2023
4,4,22,9,10,0,2,10,2023
4,4,22,8,11,32,20,8,2023
4,4,22,3,6,0,7,6,2023
4,4,22,18,12,0,22,12,2023
5,4,29,1,2,40,0,1,2023
5,4,29,5,4,19,0,5,2023
5,4,29,10,8,19,28,8,2023
5,4,29,16,18,41,6,16,2023
5,4,29,17,12,0,66,12,2023
5,4,29,7,11,28,0,7,2023
6,5,6,16,8,6,7,8,2023
6,5,6,10,7,6,34,7,2023
6,5,6,2,3,25,42,3,2023
6,5,6,1,5,21,22,5,2023
6,5,6,4,6,26,0,4,2023
6,5,6,11,9,14,8,11,2023
6,5,6,18,15,22,7,18,2023
7,5,13,15,11,3,22,11,2023
7,5,13,1,3,42,6,1,2023
7,5,13,8,18,47,20,8,2023
7,5,13,9,7,0,56,7,2023
7,5,13,6,2,14,7,6,2023
7,5,13,12,16,6,20,16,2023
8,5,20,12,15,48,0,12,2023
8,5,20,5,10,40,29,5,2023
8,5,20,6,1,0,56,1,2023
8,5,20,16,17,62,0,16,2023
8,5,20,3,4,8,6,3,2023
P1,6,8,7,10,34,7,7,2023
P1,6,8,5,1,20,48,1,2023
P1,6,8,16,12,7,12,12,2023
P1,6,8,8,11,23,7,8,2023
P2,6,10,8,12,46,26,8,2023
P2,6,10,7,1,34,6,7,2023
P3,6,25,8,7,7,49,7,2023
1,4,6,12,8,15,36,12,2024
1,4,6,17,18,0,44,17,2024
1,4,6,10,11,12,6,10,2024
1,4,6,16,15,20,0,16,2024
1,4,6,7,9,48,0,7,2024
1,4,6,1,4,21,7,1,2024
1,4,6,3,6,0,9,6,2024
1,4,6,2,5,22,30,5,2024
2,4,13,5,1,7,24,1,2024
2,4,13,7,10,21,7,7,2024
2,4,13,9,17,40,0,9,2024
2,4,13,11,8,0,18,8,2024
2,4,13,15,12,0,26,12,2024
2,4,13,2,6,34,7,2,2024
2,4,13,18,16,0,13,16,2024
2,4,13,4,3,7,14,3,2024
3,4,20,3,5,0,14,5,2024
3,4,20,1,2,27,6,1,2024
3,4,20,8,7,15,14,8,2024
3,4,20,15,9,9,15,9,2024
3,4,20,12,18,31,9,12,2024
3,4,20,16,17,49,0,16,2024
4,4,27,10,3,14,8,10,2024
4,4,27,17,12,15,48,12,2024
4,4,27,6,4,0,21,4,2024
4,4,27,7,11,44,12,7,2024
4,4,27,18,15,0,9,15,2024
4,4,27,1,16,12,6,1,2024
5,5,4,4,10,7,23,10,2024
5,5,4,9,8,25,30,8,2024
5,5,4,6,2,8,29,2,2024
5,5,4,11,5,26,0,11,2024
6,5,11,10,9,0,10,9,2024
6,5,11,2,3,21,18,2,2024
6,5,11,15,18,2,0,15,2024
6,5,11,6,1,0,54,1,2024
6,5,11,11,7,8,34,7,2024
6,5,11,8,16,18,0,8,2024
6,5,11,5,4,12,15,4,2024
6,5,11,12,17,50,12,12,2024
P1,5,18,17,15,8,32,15,2024
P1,5,18,3,1,0,27,1,2024
P1,5,18,4,2,28,43,2,2024
P1,5,18,5,6,39,0,5,2024
P1,5,18,9,11,19,0,9,2024
P1,5,18,8,10,18,0,8,2024
P1,5,18,16,12,0,0,0,2024
P1,5,18,18,7,0,2,7,2024
1,3,29,17,15,0,24,15,2025
1,3,29,13,14,27,22,13,2025
1,3,29,9,7,20,14,9,2025
1,3,29,10,8,0,33,8,2025
1,3,29,1,5,40,6,1,2025
1,3,29,2,4,51,6,2,2025
1,3,29,6,3,2,31,3,2025
1,3,29,12,16,46,17,12,2025
2,4,5,14,12,0,14,12,2025
2,4,5,8,9,35,9,8,2025
2,4,5,16,17,26,0,16,2025
2,4,5,7,2,42,0,7,2025
2,4,5,11,10,6,13,10,2025
2,4,5,4,6,13,0,4,2025
3,4,12,2,1,3,44,1,2025
3,4,12,3,7,0,39,7,2025
3,4,12,4,5,18,12,4,2025
3,4,12,14,15,17,6,14,2025
3,4,12,8,11,54,0,8,2025
3,4,12,13,12,15,18,12,2025
4,4,19,1,3,20,0,1,2025
4,4,19,9,10,41,7,9,2025
4,4,19,16,14,24,21,16,2025
4,4,19,5,6,14,13,5,2025
4,4,19,17,13,0,50,13,2025
5,4,26,4,1,0,20,1,2025
5,4,26,7,8,27,6,7,2025
5,4,26,5,2,6,33,2,2025
5,4,26,15,16,9,6,15,2025
5,4,26,11,9,0,1,9,2025
6,5,3,14,17,20,11,14,2025
6,5,3,9,15,12,0,9,2025
6,5,3,12,11,55,0,12,2025
6,5,3,2,3,32,8,2,2025
6,5,3,6,4,28,25,6,2025
6,5,3,10,7,0,51,7,2025
6,5,3,16,13,8,31,13,2025
7,5,10,7,11,61,0,7,2025
7,5,10,5,10,24,7,5,2025
7,5,10,17,8,8,45,8,2025
7,5,10,3,4,44,0,3,2025
7,5,10,1,6,44,0,1,2025
7,5,10,12,14,37,0,12,2025
7,5,10,15,13,6,42,15,2025
8,5,17,10,1,0,33,1,2025
8,5,17,11,17,7,14,17,2025
8,5,17,15,12,0,26,12,2025
8,5,17,8,16,6,0,8,2025
8,5,17,6,2,0,52,2,2025
8,5,17,3,5,24,6,3,2025
8,5,17,13,9,14,10,13,2025
P1,6,5,7,2,15,0,7,2025
P1,6,5,12,9,13,0,12,2025
P1,6,5,1,3,33,9,1,2025
P1,6,5,8,13,35,23,8,2025
P2,6,7,1,7,0,36,7,2025
P2,6,7,12,8,13,10,12,2025
P3,6,21,7,12,21,19,7,2025
